Row_ID,Order_ID,Order_Date,Order_Priority,Order_Quantity,Sales,Discount,Ship_Mode,Profit,Unit_Price,Shipping_Cost,Customer_Name,City,Zip_Code,State,Region,Customer_Segment,Product_Category,Product_Sub-Category,Product_Name,Product_Container,Product_Base_Margin,Ship_Date
16,96,16/04/2009,High,37,4158.1235,0.01,Regular Air,1228.89,125.99,8.99,Keith Dawkins,Little Rock,72209,Arkansas,South,Home Office,Technology,Telephones and Communication,SC7868i,Small Box,0.55,18/04/2009
17,97,28/01/2010,Medium,26,75.57,0.03,Regular Air,28.24,2.89,0.5,Craig Yedwab,Prescott Valley,86314,Arizona,West,Consumer,Office Supplies,Labels,Avery 498,Small Box,0.38,29/01/2010
18,129,18/11/2012,Low,4,32.72,0.09,Regular Air,-22.59,6.48,8.19,Pauline Chand,Moore,73160,Oklahoma,Central,Corporate,Office Supplies,Paper,Xerox 217,Small Box,0.37,27/11/2012
19,130,07/05/2012,High,3,461.89,0.05,Express Air,-309.82,150.98,13.99,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Technology,Office Machines,Canon MP41DH Printing Calculator,Medium Box,0.38,09/05/2012
20,130,07/05/2012,High,29,575.11,0.02,Regular Air,71.75,18.97,9.03,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Office Supplies,Paper,Computer Printout Paper with Letter-Trim Perforations,Small Box,0.37,08/05/2012
21,130,07/05/2012,High,23,236.46,0.05,Regular Air,-134.31,9.71,9.45,Roy Collins,Cleveland,37311,Tennessee,South,Corporate,Office Supplies,Storage & Organization,Filing/Storage Totes and Swivel Casters,Small Box,0.6,10/05/2012
22,132,10/06/2010,Medium,27,192.814,0.03,Regular Air,-86.2,7.99,5.03,Emily Phan,Avenel,7001,New Jersey,East,Consumer,Technology,Telephones and Communication,Bell Sonecor JB700 Caller ID,Medium Box,0.6,11/06/2010
23,132,10/06/2010,Medium,30,4011.65,0.05,Delivery Truck,-603.8,130.98,54.74,Emily Phan,Lewiston,4240,Maine,East,Consumer,Furniture,Bookcases,"O'Sullivan Elevations Bookcase, Cherry Finish",Jumbo Box,0.69,13/06/2010
24,134,30/04/2012,Not Specified,11,1132.6,0.01,Regular Air,-310.21,95.99,35,Michael Dominguez,Brookfield,53005,Wisconsin,Central,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,,02/05/2012
25,135,20/10/2011,Not Specified,25,125.85,0.09,Regular Air,-89.25,4.98,4.62,Anne Pryor,Troy,12180,New York,East,Consumer,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.64,22/10/2011
26,166,11/09/2011,High,10,567.936,0.02,Express Air,-126.09,65.99,8.99,Valerie Takahito,Tamarac,33319,Florida,South,Consumer,Technology,Telephones and Communication,i270,Small Box,0.55,13/09/2011
27,193,07/08/2010,Critical,14,174.89,0.06,Regular Air,-37.04,12.44,6.27,Justin Hirsh,Bethpage,11714,New York,East,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box,0.57,09/08/2010
28,194,04/04/2012,Medium,49,329.03,0.1,Regular Air,-197.25,7.28,7.98,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Furniture,Office Furnishings,"Master Caster Door Stop, Large Neon Orange",Wrap Bag,0.42,06/04/2012
29,194,04/04/2012,Medium,6,20.19,0.04,Regular Air,-13.44,3.14,1.92,Maria Zettner,West Linn,97068,Oregon,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Serrated Blade or Curved Handle Hand Letter Openers,Wrap Bag,0.84,06/04/2012
30,195,27/12/2010,Medium,34,1315.74,0.03,Regular Air,260.87,36.55,13.89,Brad Thomas,Long Beach,90805,California,West,Home Office,Office Supplies,Pens & Art Supplies,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Wrap Bag,0.41,29/12/2010
31,197,06/04/2011,High,23,310.52,0.01,Regular Air,33.22,12.98,3.14,Penelope Sewall,Miramar,33023,Florida,South,Home Office,Office Supplies,"Scissors, Rulers and Trimmers","Acme® 8"" Straight Scissors",Small Pack,0.6,08/04/2011
32,224,17/06/2009,Not Specified,25,184.86,0.09,Regular Air,-33.95,7.38,5.21,Bart Folk,Lemon Grove,91945,California,West,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56,18/06/2009
33,224,17/06/2009,Not Specified,44,267.85,0.04,Regular Air,-65.43,5.98,5.15,Bart Folk,Lemon Grove,91945,California,West,Corporate,Office Supplies,Paper,Xerox 193,Small Box,0.36,18/06/2009
34,224,17/06/2009,Not Specified,33,528.5,0.04,Regular Air,-149.92,15.42,10.68,Bart Folk,Lemon Grove,91945,California,West,Corporate,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58,18/06/2009
35,225,24/05/2011,Critical,24,126.58,0.06,Regular Air,18.27,5.58,0.7,Karen Ferguson,Holbrook,11741,New York,East,Home Office,Office Supplies,Pens & Art Supplies,Newell 314,Wrap Bag,0.6,25/05/2011
36,225,24/05/2011,Critical,1,23.7,0.05,Regular Air,-8.97,19.84,4.1,Karen Ferguson,Holbrook,11741,New York,East,Home Office,Office Supplies,Pens & Art Supplies,Prismacolor Color Pencil Set,Wrap Bag,0.44,26/05/2011
37,229,28/12/2010,Critical,43,586.11,0.11,Regular Air,98.44,12.64,4.98,Matt Abelman,Blaine,55434,Minnesota,Central,Consumer,Furniture,Office Furnishings,Nu-Dell Executive Frame,Small Pack,0.48,30/12/2010
38,229,28/12/2010,Critical,24,599.1,0.02,Regular Air,3.82,24.92,12.98,Peter Fuller,Atlanta,30318,Georgia,South,Consumer,Office Supplies,Binders and Binder Accessories,GBC Standard Therm-A-Bind Covers,Small Box,0.39,29/12/2010
39,230,26/10/2010,Critical,47,2029.75,0.06,Regular Air,320.37,43.98,8.99,Erin Creighton,Burleson,76028,Texas,Central,Corporate,Office Supplies,Pens & Art Supplies,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Small Pack,0.58,28/10/2010
40,230,26/10/2010,Critical,11,1118.396,0.06,Regular Air,-212.33,125.99,8.08,Erin Creighton,Burleson,76028,Texas,Central,Corporate,Technology,Telephones and Communication,StarTAC ST7762,Small Box,0.57,28/10/2010
41,231,28/09/2009,High,2,689.74,0.06,Regular Air,-490.84,363.25,19.99,Sean Braxton,Hollywood,33021,Florida,South,Small Business,Office Supplies,Appliances,Hoover WindTunnel™ Plus Canister Vacuum,Small Box,0.57,30/09/2009
42,258,28/12/2010,Critical,21,154.35,0,Regular Air,-91.14,6.48,8.74,Liz Willingham,Auburn,4210,Maine,East,Home Office,Office Supplies,Paper,Xerox 1984,Small Box,0.36,30/12/2010
43,258,28/12/2010,Critical,7,201.36,0,Delivery Truck,-284.4,20.98,53.03,Liz Willingham,Brunswick,4011,Maine,East,Home Office,Office Supplies,Storage & Organization,"Tennsco Lockers, Gray",Jumbo Drum,0.78,29/12/2010
44,258,28/12/2010,Critical,33,216.77,0.02,Regular Air,-55.11,6.54,5.27,Liz Willingham,Hudson,3051,New Hampshire,East,Home Office,Office Supplies,Binders and Binder Accessories,Wilson Jones® Four-Pocket Poly Binders,Small Box,0.36,30/12/2010
45,261,28/06/2010,Medium,47,5677.609,0.04,Regular Air,1680.79,140.99,4.2,Sonia Sunley,Garden City,67846,Kansas,Central,Small Business,Technology,Telephones and Communication,7160,Small Box,0.59,29/06/2010
46,263,16/05/2009,High,25,136.77,0.09,Regular Air,-136.25,5.4,7.78,Paul Lucas,Davis,95616,California,West,Corporate,Office Supplies,Binders and Binder Accessories,3M Organizer Strips,Small Box,0.37,17/05/2009
47,290,05/01/2009,Not Specified,24,188.73,0.05,Regular Air,-32.48,7.64,5.83,Dorris Love,Deer Park,11729,New York,East,Home Office,Office Supplies,Paper,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Wrap Bag,0.36,06/01/2009
48,292,12/01/2012,High,43,412.62,0.08,Regular Air,175.54,9.9,1.39,Valerie Takahito,Taylors,29687,South Carolina,South,Consumer,Office Supplies,Envelopes,#6 3/4 Gummed Flap White Envelopes,Small Box,0.37,13/01/2012
49,293,01/10/2012,High,49,10123.02,0.07,Delivery Truck,457.81,208.16,68.02,Barry French,Tinley Park,60477,Illinois,Central,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,02/10/2012
50,293,01/10/2012,High,27,244.57,0.01,Regular Air,46.71,8.69,2.99,Barry French,Tinley Park,60477,Illinois,Central,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,03/10/2012
51,294,15/07/2010,Medium,35,6375.28,0.06,Regular Air,489.02,193.17,19.99,Sanjit Chand,Urbandale,50322,Iowa,Central,Home Office,Office Supplies,Storage & Organization,Fellowes Staxonsteel® Drawer Files,Small Box,0.71,16/07/2010
52,322,18/03/2012,Critical,20,2634.8555,0.08,Regular Air,257.76,155.99,8.08,Giulietta Weimer,Allen Park,48101,Michigan,Central,Corporate,Technology,Telephones and Communication,I888 World Phone,Small Box,0.6,20/03/2012
53,322,18/03/2012,Critical,46,281,0.1,Regular Air,-291.59,6.48,10.05,Giulietta Weimer,Ann Arbor,48104,Michigan,Central,Corporate,Office Supplies,Paper,Xerox 1997,Small Box,0.37,20/03/2012
54,323,25/03/2009,Critical,20,108.09,0.07,Regular Air,25.76,5.68,1.39,Dario Medina,Scottsdale,85254,Arizona,West,Small Business,Office Supplies,Envelopes,Staples Standard Envelopes,Small Box,0.38,27/03/2009
55,323,25/03/2009,Critical,2,55.34,0.06,Regular Air,-31.24,22.84,11.54,Dario Medina,Scottsdale,85254,Arizona,West,Small Business,Office Supplies,Paper,Xerox 1964,Small Box,0.39,27/03/2009
56,324,19/03/2012,Critical,25,3872.634,0.02,Regular Air,667.33,179.99,13.99,Frank Gastineau,Sanford,27237,North Carolina,South,Small Business,Technology,Telephones and Communication,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Medium Box,0.57,21/03/2012
57,325,16/10/2010,Low,9,884.1275,0.06,Regular Air,-178.71,115.99,4.23,Craig Yedwab,Sanford,4073,Maine,East,Corporate,Technology,Telephones and Communication,282,Small Box,0.56,20/10/2010
58,326,03/06/2011,High,34,218.27,0.03,Regular Air,-44.14,5.99,4.92,Michelle Tran,Columbia,21044,Maryland,East,Consumer,Office Supplies,Binders and Binder Accessories,"DXL™ Angle-View Binders with Locking Rings, Black",Small Box,0.38,04/06/2011
59,326,03/06/2011,High,17,100.95,0.05,Regular Air,-21.3,5.81,3.37,Michelle Tran,Crofton,21114,Maryland,East,Consumer,Office Supplies,Rubber Bands,"Advantus Push Pins, Aluminum Head",Wrap Bag,0.54,04/06/2011
60,353,30/12/2010,Low,21,46.94,0.02,Regular Air,3.88,2.21,1,Dean Percer,Redwood City,94061,California,West,Home Office,Office Supplies,Pens & Art Supplies,"Quartet Alpha® White Chalk, 12/Pack",Wrap Bag,0.38,01/04/2011
61,355,13/06/2009,Low,16,1239.6315,0,Regular Air,-172.55,85.99,0.99,Henry MacAllister,College Station,77840,Texas,Central,Small Business,Technology,Telephones and Communication,Accessory4,Wrap Bag,0.85,18/06/2009
62,358,19/09/2010,High,33,1640.9,0.02,Delivery Truck,-1348.06,48.58,54.11,Ricardo Block,Lewiston,83501,Idaho,West,Corporate,Furniture,Bookcases,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Jumbo Box,0.69,21/09/2010
63,358,19/09/2010,High,33,1235.87,0.07,Regular Air,269.27,39.48,1.99,Ricardo Block,Lewiston,83501,Idaho,West,Corporate,Technology,Computer Peripherals,"80 Minute CD-R Spindle, 100/Pack - Staples",Small Pack,0.54,19/09/2010
64,359,18/12/2009,Medium,30,3659.66,0.08,Delivery Truck,-500.38,124.49,51.94,Cari Sayre,Pleasant Grove,84062,Utah,West,Corporate,Furniture,Tables,Bevis 36 x 72 Conference Tables,Jumbo Box,0.63,19/12/2009
65,384,02/03/2012,Low,50,7666.04,0.02,Delivery Truck,-1820.84,146.05,80.2,Sonia Cooley,Bend,97701,Oregon,West,Corporate,Furniture,Tables,BPI Conference Tables,Jumbo Box,0.71,09/03/2012
66,386,24/01/2011,High,4,14.96,0.02,Regular Air,-0.03,3.69,0.5,Tracy Poddar,Mount Vernon,43050,Ohio,East,Corporate,Office Supplies,Labels,Avery 501,Small Box,0.38,26/01/2011
67,386,24/01/2011,High,4,15.69,0.09,Regular Air,-1.59,3.85,0.7,Tracy Poddar,Mount Vernon,43050,Ohio,East,Corporate,Office Supplies,Pens & Art Supplies,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Wrap Bag,0.44,26/01/2011
68,388,15/12/2012,Not Specified,46,517.93,0.06,Regular Air,-94.73,11.7,6.96,Jennifer Halladay,Bartlesville,74006,Oklahoma,Central,Home Office,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Medium Box,0.5,18/12/2012
69,416,26/09/2010,Low,20,1156.6715,0.01,Express Air,88.52,65.99,7.69,Stuart Calhoun,Grove City,43123,Ohio,East,Consumer,Technology,Telephones and Communication,5190,Small Box,0.59,01/10/2010
70,417,05/02/2009,Medium,39,15260.78,0.07,Delivery Truck,8734.88,500.98,28.14,Robert Barroso,East Los Angeles,90022,California,West,Small Business,Technology,Office Machines,"Hewlett-Packard cp1700 [D, PS] Series Color Inkjet Printers",Jumbo Drum,0.38,06/02/2009
71,417,05/02/2009,Medium,3,540.41,0.1,Regular Air,-170.98,178.47,19.99,Robert Barroso,East Los Angeles,90022,California,West,Small Business,Office Supplies,Storage & Organization,"Hot File® 7-Pocket, Floor Stand",Small Box,0.55,07/02/2009
72,420,30/10/2011,Not Specified,8,43.29,0.09,Regular Air,-20.69,4.98,4.86,Tony Sayre,Marysville,98270,Washington,West,Small Business,Office Supplies,Paper,Xerox 190,Small Box,0.38,30/10/2011
73,420,30/10/2011,Not Specified,6,41.7,0.03,Regular Air,-14.56,5.78,5.37,Tony Sayre,Marysville,98270,Washington,West,Small Business,Office Supplies,Paper,Xerox 1950,Small Box,0.36,01/11/2011
74,448,20/08/2011,Medium,22,1162.4005,0.09,Regular Air,-284.63,65.99,19.99,Brad Thomas,Long Beach,90805,California,West,Corporate,Technology,Telephones and Communication,iDENi80s,Small Box,0.59,22/08/2011
75,449,19/07/2011,High,45,356.7,0.02,Regular Air,-48.97,7.38,5.21,Candace McMahon,San Marcos,78666,Texas,Central,Corporate,Furniture,Office Furnishings,"Eldon® Expressions™ Wood Desk Accessories, Oak",Small Box,0.56,21/07/2011
76,450,04/03/2011,Not Specified,29,1000.78,0.05,Express Air,109.33,34.58,8.99,Matt Collins,Fort Dodge,50501,Iowa,Central,Consumer,Office Supplies,Pens & Art Supplies,Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop,Small Pack,0.56,05/03/2011
77,450,04/03/2011,Not Specified,35,543.72,0.05,Regular Air,-211.13,15.7,11.25,Matt Collins,Fort Dodge,50501,Iowa,Central,Consumer,Office Supplies,Storage & Organization,Hanging Personal Folder File,Small Box,0.6,06/03/2011
78,454,26/12/2011,Low,42,234.2,0.09,Regular Air,56.22,6.08,1.82,Darrin Martin,Altoona,16602,Pennsylvania,East,Small Business,Office Supplies,Rubber Bands,Staples Bulk Pack Metal Binder Clips,Wrap Bag,0.35,28/12/2011
79,481,07/10/2012,High,44,4509.3775,0.01,Regular Air,1426.26,115.99,5.26,Art Foster,Highlands Ranch,80126,Colorado,West,Home Office,Technology,Telephones and Communication,636,Small Box,0.57,09/10/2012
80,483,10/07/2011,High,30,4965.7595,0.08,Regular Air,1198.97,195.99,3.99,Clay Rozendal,Rock Island,61201,Illinois,Central,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,12/07/2011
81,487,17/08/2012,Critical,19,210.4,0.07,Regular Air,-18.96,10.89,4.5,Valerie Dominguez,Orlando,32839,Florida,South,Corporate,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,Small Box,0.59,18/08/2012
82,512,19/05/2011,Low,6,1309.53,0.06,Regular Air,19.18,218.08,18.06,Sam Craven,East Point,30344,Georgia,South,Home Office,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box,0.57,19/05/2011
83,512,19/05/2011,Low,48,806.37,0.01,Express Air,-166.4,15.42,10.68,Sam Craven,East Point,30344,Georgia,South,Home Office,Office Supplies,Storage & Organization,"Decoflex Hanging Personal Folder File, Blue",Small Box,0.58,21/05/2011
84,513,30/04/2011,High,33,5437.92,0,Delivery Truck,-684.57,150.89,60.2,Arthur Prichep,Cleveland,44105,Ohio,East,Home Office,Furniture,Chairs & Chairmats,"Global Leather & Oak Executive Chair, Burgundy",Jumbo Drum,0.77,30/04/2011
85,515,28/08/2010,Not Specified,19,394.27,0.08,Regular Air,30.94,21.78,5.94,Carlos Soltero,Wheeling,60090,Illinois,Central,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,30/08/2010
86,515,28/08/2010,Not Specified,21,146.69,0.05,Regular Air,4.43,6.64,4.95,Carlos Soltero,Wilmette,60091,Illinois,Central,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,30/08/2010
87,548,20/09/2009,Critical,41,129.49,0.04,Regular Air,36.02,3.08,0.99,Sung Chung,Murray,42071,Kentucky,South,Home Office,Office Supplies,Labels,Avery 481,Small Box,0.37,21/09/2009
88,548,20/09/2009,Critical,29,202.95,0.02,Regular Air,-50.64,6.48,5.9,Sung Chung,Murray,42071,Kentucky,South,Home Office,Office Supplies,Paper,Xerox 1976,Small Box,0.37,21/09/2009
89,548,20/09/2009,Critical,26,2753.1925,0.04,Regular Air,510.49,125.99,4.2,Sung Chung,Murray,42071,Kentucky,South,Home Office,Technology,Telephones and Communication,V3682,Small Box,0.59,22/09/2009
90,549,12/07/2012,Critical,13,70.24,0.03,Regular Air,-59.75,4.98,7.44,Ken Brennan,Monroeville,15146,Pennsylvania,East,Consumer,Office Supplies,Paper,Xerox 1922,Small Box,0.36,13/07/2012
91,549,12/07/2012,Critical,5,40.75,0.05,Regular Air,-27.57,6.48,8.74,Ken Brennan,Monroeville,15146,Pennsylvania,East,Consumer,Office Supplies,Paper,Xerox 1984,Small Box,0.36,13/07/2012
92,549,12/07/2012,Critical,30,1150.88,0.05,Express Air,-911.56,38.94,35,Ken Brennan,Monroeville,15146,Pennsylvania,East,Consumer,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,12/07/2012
93,610,01/08/2011,Critical,38,283.65,0.02,Express Air,-29.21,6.68,5.41,Joe Elijah,Fayetteville,72701,Arkansas,South,Home Office,Office Supplies,Paper,Xerox 195,Small Box,0.37,03/08/2011
94,611,26/01/2010,Critical,47,840.04,0.04,Regular Air,-131.27,17.7,9.47,Arthur Prichep,Cleveland,44105,Ohio,East,Home Office,Office Supplies,Storage & Organization,Portfile® Personal File Boxes,Small Box,0.59,28/01/2010
95,612,20/10/2012,Medium,50,262.87,0.1,Regular Air,-166.29,5.28,6.26,Sheri Gordon,Van Buren,72956,Arkansas,South,Corporate,Office Supplies,Paper,Xerox 1928,Small Box,0.4,22/10/2012
96,612,20/10/2012,Medium,43,2531.0875,0.01,Regular Air,881.68,65.99,2.5,Sheri Gordon,Van Buren,72956,Arkansas,South,Corporate,Technology,Telephones and Communication,6190,Small Box,0.55,22/10/2012
97,613,17/06/2011,High,12,93.54,0.03,Regular Air,-54.04,7.3,7.72,Carl Jackson,Waukegan,60087,Illinois,Central,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,17/06/2011
98,613,17/06/2011,High,22,905.08,0.09,Regular Air,127.7,42.76,6.22,Carl Jackson,Waukegan,60087,Illinois,Central,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,18/06/2011
99,614,30/11/2012,High,41,628.22,0,Regular Air,163.81,14.34,5,Dave Hallsten,Camp Springs,20746,Maryland,East,Corporate,Furniture,Office Furnishings,Nu-Dell Leatherette Frames,Small Pack,0.49,02/12/2012
100,614,30/11/2012,High,24,3366.1,0.07,Delivery Truck,-335.32,138.75,52.42,Dave Hallsten,Camp Springs,20746,Maryland,East,Corporate,Furniture,Tables,Balt Split Level Computer Training Table,Jumbo Box,0.74,01/12/2012
101,640,22/01/2010,High,39,4913.69,0.02,Delivery Truck,-1153.9,120.98,58.64,Tamara Chand,Pasadena,77506,Texas,Central,Consumer,Furniture,Bookcases,O'Sullivan Living Dimensions 2-Shelf Bookcases,Jumbo Box,0.75,23/01/2010
102,640,22/01/2010,High,24,464.77,0.01,Regular Air,29.42,18.97,9.54,Tamara Chand,Pasadena,77506,Texas,Central,Consumer,Office Supplies,Paper,Xerox 1939,Small Box,0.37,23/01/2010
103,643,24/03/2011,High,21,2781.82,0.07,Express Air,-695.26,138.14,35,Monica Federle,Gurnee,60031,Illinois,Central,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,25/03/2011
104,644,30/04/2012,Critical,5,1679.58,0.01,Delivery Truck,-171.92,320.98,58.95,Bill Eplett,Auburn,13021,New York,East,Corporate,Furniture,Chairs & Chairmats,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Jumbo Drum,0.57,01/05/2012
105,645,02/12/2009,High,42,557.85,0.05,Regular Air,89.45,12.95,4.98,Harold Engle,Lafayette,47905,Indiana,Central,Consumer,Office Supplies,Binders and Binder Accessories,GBC Binding covers,Small Box,0.4,04/12/2009
106,646,21/11/2009,High,18,173.2,0.01,Regular Air,-10.9,9.31,3.98,Duane Huffman,Lake Jackson,77566,Texas,Central,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Acme® Forged Steel Scissors with Black Enamel Handles,Small Pack,0.56,22/11/2009
107,678,26/02/2010,Low,44,228.41,0.07,Regular Air,-226.36,4.98,8.33,Dorothy Badders,Rockford,61107,Illinois,Central,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,26/02/2010
108,706,08/09/2011,Critical,42,75.14,0.05,Regular Air,0.82,1.76,0.7,Sarah Jordon,Maplewood,55119,Minnesota,Central,Consumer,Office Supplies,Pens & Art Supplies,Newell 326,Wrap Bag,0.56,10/09/2011
109,710,01/01/2010,Low,42,161.77,0.01,Regular Air,-150.37,3.58,5.47,Susan MacKendrick,Ocoee,34761,Florida,South,Corporate,Office Supplies,Binders and Binder Accessories,Avery Poly Binder Pockets,Small Box,0.37,05/01/2010
110,710,01/01/2010,Low,11,447.09,0.09,Regular Air,89.03,41.32,8.66,Susan MacKendrick,Ocoee,34761,Florida,South,Corporate,Furniture,Office Furnishings,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Medium Box,0.76,03/01/2010
111,710,01/01/2010,Low,29,4192.88,0.02,Delivery Truck,731.32,145.45,17.85,Susan MacKendrick,Ocoee,34761,Florida,South,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56,05/01/2010
112,738,01/03/2010,Not Specified,7,560.51,0.04,Regular Air,32.6,80.98,4.5,Caroline Jumper,White Plains,10605,New York,East,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Small Box,0.59,03/03/2010
113,738,01/03/2010,Not Specified,31,189.95,0.08,Regular Air,-56.68,6.48,5.14,Caroline Jumper,White Plains,10605,New York,East,Corporate,Office Supplies,Paper,Xerox 23,Small Box,0.37,02/03/2010
